GDSC_CELL_LINE,DepMap_ModelID,DepMap_CellLineName,DepMap_StrippedName,COSMIC_ID,Match_Method,Confidence,Fuzzy_Score
PFSK-1,ACH-001711,PFSK-1,PFSK1,683667,COSMIC_ID,HIGH,
TE-6,ACH-000605,TE-6,TE6,946355,COSMIC_ID,HIGH,
TE-12,ACH-002311,TE-12,TE12,946356,COSMIC_ID,HIGH,
TC-YIK,ACH-002201,TC-YIK,TCYIK,946357,COSMIC_ID,HIGH,
YT,ACH-002317,YT,YT,946358,COSMIC_ID,HIGH,
BT-474,ACH-000927,BT-474,BT474,946359,COSMIC_ID,HIGH,
OAW-28,ACH-000116,OAW28,OAW28,946360,COSMIC_ID,HIGH,
LCLC-97TM1,ACH-000596,LCLC-97TM1,LCLC97TM1,946361,COSMIC_ID,HIGH,
KP-N-YS,ACH-002261,KP-N-YS,KPNYS,946363,COSMIC_ID,HIGH,
D-245MG,ACH-002223,D-245MG,D245MG,946366,COSMIC_ID,HIGH,
D-247MG,ACH-002224,D-247MG,D247MG,946367,COSMIC_ID,HIGH,
D-263MG,ACH-002225,D-263MG,D263MG,946368,COSMIC_ID,HIGH,
D-336MG,ACH-002226,D-336MG,D336MG,946369,COSMIC_ID,HIGH,
D-392MG,ACH-002227,D-392MG,D392MG,946370,COSMIC_ID,HIGH,
D-423MG,ACH-002228,D-423MG,D423MG,946372,COSMIC_ID,HIGH,
D-502MG,ACH-002229,D-502MG,D502MG,946373,COSMIC_ID,HIGH,
D-566MG,ACH-002231,D-566MG,D566MG,946377,COSMIC_ID,HIGH,
CAMA-1,ACH-000783,CAMA-1,CAMA1,946382,COSMIC_ID,HIGH,
CTB-1,ACH-002221,CTB-1,CTB1,949088,COSMIC_ID,HIGH,
Caov-4,ACH-000103,Caov-4,CAOV4,949090,COSMIC_ID,HIGH,
BT-483,ACH-000818,BT-483,BT483,949093,COSMIC_ID,HIGH,
M059J,ACH-001118,M059J,M059J,949094,COSMIC_ID,HIGH,
HAL-01,ACH-002241,HAL-01,HAL01,949153,COSMIC_ID,HIGH,
OMC-1,ACH-002180,OMC-1,OMC1,949154,COSMIC_ID,HIGH,
ES8,ACH-002109,ES8,ES8,949155,COSMIC_ID,HIGH,
ES4,ACH-002105,ES4,ES4,949156,COSMIC_ID,HIGH,
TE-11,ACH-000488,TE-11,TE11,946354,COSMIC_ID,HIGH,
TE-9,ACH-000694,TE-9,TE9,946353,COSMIC_ID,HIGH,
VMRC-MELG,ACH-001704,VMRC-MELG,VMRCMELG,930301,COSMIC_ID,HIGH,
SiHa,ACH-000556,SIHA,SIHA,930297,COSMIC_ID,HIGH,
CAL-39,ACH-002091,CAL-39,CAL39,924107,COSMIC_ID,HIGH,
HDLM-2,ACH-000267,HDLM-2,HDLM2,924110,COSMIC_ID,HIGH,
HO-1-N-1,ACH-002244,HO-1-N-1,HO1N1,924111,COSMIC_ID,HIGH,
HTC-C3,ACH-001350,HTC-C3,HTCC3,924151,COSMIC_ID,HIGH,
KGN,ACH-002149,KGN,KGN,924186,COSMIC_ID,HIGH,
KLE,ACH-000293,KLE,KLE,924187,COSMIC_ID,HIGH,
KNS-81-FD,ACH-002259,KNS-81-FD,KNS81FD,924188,COSMIC_ID,HIGH,
KP-N-RT-BM-1,ACH-000345,KP-N-RT-BM-1,KPNRTBM1,924189,COSMIC_ID,HIGH,
K5,ACH-002148,K5,K5,924238,COSMIC_ID,HIGH,
L-363,ACH-000183,L-363,L363,924239,COSMIC_ID,HIGH,
MDA-MB-415,ACH-000876,MDA-MB-415,MDAMB415,924240,COSMIC_ID,HIGH,
NCI-H250,ACH-002171,NCI-H250,NCIH250,924241,COSMIC_ID,HIGH,
ES6,ACH-002107,ES6,ES6,949157,COSMIC_ID,HIGH,
NCI-H1975,ACH-000587,NCI-H1975,NCIH1975,924244,COSMIC_ID,HIGH,
TE-441-T,ACH-000772,TE 441.T,TE441T,924248,COSMIC_ID,HIGH,
MKN7,ACH-000678,MKN7,MKN7,924250,COSMIC_ID,HIGH,
MDA-MB-157,ACH-000621,MDA-MB-157,MDAMB157,925338,COSMIC_ID,HIGH,
MMAc-SF,ACH-002162,MMAC-SF,MMACSF,925339,COSMIC_ID,HIGH,
MKN45,ACH-000356,MKN-45,MKN45,925340,COSMIC_ID,HIGH,
NCI-H810,ACH-000789,NCI-H810,NCIH810,925341,COSMIC_ID,HIGH,
MFH-ino,ACH-002271,MFH-ino,MFHINO,925343,COSMIC_ID,HIGH,
PANC-03-27,ACH-000139,Panc 03.27,PANC0327,925346,COSMIC_ID,HIGH,
PANC-08-13,ACH-000417,Panc 08.13,PANC0813,925347,COSMIC_ID,HIGH,
PANC-10-05,ACH-000060,Panc 10.05,PANC1005,925348,COSMIC_ID,HIGH,
RL95-2,ACH-000965,RL95-2,RL952,930082,COSMIC_ID,HIGH,
RO82-W-1,ACH-001384,RO82-W-1,RO82W1,930083,COSMIC_ID,HIGH,
SW954,ACH-001400,SW 954,SW954,924247,COSMIC_ID,HIGH,
ES1,ACH-002103,ES1,ES1,949158,COSMIC_ID,HIGH,
EW-7,ACH-002119,EW-7,EW7,949160,COSMIC_ID,HIGH,
EW-3,ACH-002118,EW-3,EW3,949161,COSMIC_ID,HIGH,
NCI-H2595,ACH-002127,H2595,H2595,1240132,COSMIC_ID,HIGH,
NCI-H2731,ACH-002129,H2731,H2731,1240134,COSMIC_ID,HIGH,
NCI-H2803,ACH-002131,H2803,H2803,1240135,COSMIC_ID,HIGH,
NCI-H2804,ACH-002132,H2804,H2804,1240136,COSMIC_ID,HIGH,
NCI-H2810,ACH-002133,H2810,H2810,1240137,COSMIC_ID,HIGH,
NCI-H2869,ACH-002135,H2869,H2869,1240138,COSMIC_ID,HIGH,
NCI-H290,ACH-002136,H290,H290,1240139,COSMIC_ID,HIGH,
NCI-H3118,ACH-002239,H3118,H3118,1240140,COSMIC_ID,HIGH,
NCI-H513,ACH-002138,H513,H513,1240141,COSMIC_ID,HIGH,
HARA,ACH-000843,HARA,HARA,1240142,COSMIC_ID,HIGH,
HCC-15,ACH-000878,HCC-15,HCC15,1240143,COSMIC_ID,HIGH,
HCC-366,ACH-000840,HCC-366,HCC366,1240144,COSMIC_ID,HIGH,
NCI-H2591,ACH-002126,H2591,H2591,1240131,COSMIC_ID,HIGH,
HCC-44,ACH-000667,HCC-44,HCC44,1240145,COSMIC_ID,HIGH,
Hep3B2-1-7,ACH-000625,Hep 3B2.1-7,HEP3B217,1240147,COSMIC_ID,HIGH,
Hs-633T,ACH-002246,Hs 633.T,HS633T,1240149,COSMIC_ID,HIGH,
Hs-683,ACH-000067,Hs 683,HS683,1240150,COSMIC_ID,HIGH,
Hs-746T,ACH-000616,Hs 746T,HS746T,1240151,COSMIC_ID,HIGH,
IGR-37,ACH-000650,IGR-37,IGR37,1240153,COSMIC_ID,HIGH,
IHH-4,ACH-001528,IHH-4,IHH4,1240154,COSMIC_ID,HIGH,
IM-95,ACH-000919,IM95,IM95,1240155,COSMIC_ID,HIGH,
JHH-2,ACH-000577,JHH-2,JHH2,1240157,COSMIC_ID,HIGH,
JHH-4,ACH-000476,JHH-4,JHH4,1240158,COSMIC_ID,HIGH,
JHH-6,ACH-000217,JHH-6,JHH6,1240159,COSMIC_ID,HIGH,
JHH-7,ACH-000848,JHH-7,JHH7,1240160,COSMIC_ID,HIGH,
JHU-011,ACH-002249,JHU-011,JHU011,1240161,COSMIC_ID,HIGH,
HCC-827,ACH-000012,HCC-827,HCC827,1240146,COSMIC_ID,HIGH,
CAL-148,ACH-000902,CAL-148,CAL148,924106,COSMIC_ID,HIGH,
G-MEL,ACH-002121,G-MEL,GMEL,1240130,COSMIC_ID,HIGH,
ES-2,ACH-000906,ES-2,ES2,1240128,COSMIC_ID,HIGH,
EW-12,ACH-002112,EW-12,EW12,949162,COSMIC_ID,HIGH,
EW-1,ACH-002110,EW-1,EW1,949163,COSMIC_ID,HIGH,
EW-18,ACH-002115,EW-18,EW18,949164,COSMIC_ID,HIGH,
EW-16,ACH-002114,EW-16,EW16,949165,COSMIC_ID,HIGH,
EW-13,ACH-002113,EW-13,EW13,949166,COSMIC_ID,HIGH,
EW-22,ACH-002116,EW-22,EW22,949167,COSMIC_ID,HIGH,
EW-24,ACH-002117,EW-24,EW24,949168,COSMIC_ID,HIGH,
LAN-6,ACH-001355,LAN-6,LAN6,949170,COSMIC_ID,HIGH,
NB10,ACH-002278,NB10,NB10,949171,COSMIC_ID,HIGH,
NB12,ACH-002279,NB12,NB12,949172,COSMIC_ID,HIGH,
NB6,ACH-002284,NB6,NB6,949173,COSMIC_ID,HIGH,
NB7,ACH-002285,NB7,NB7,949174,COSMIC_ID,HIGH,
FU-OV-1,ACH-000574,FU-OV-1,FUOV1,1240129,COSMIC_ID,HIGH,
NB17,ACH-002282,NB17,NB17,949175,COSMIC_ID,HIGH,
NB13,ACH-002280,NB13,NB13,949177,COSMIC_ID,HIGH,
NB14,ACH-002281,NB14,NB14,949178,COSMIC_ID,HIGH,
NB1,ACH-000804,NB-1,NB1,949179,COSMIC_ID,HIGH,
RH-18,ACH-000689,RH-18,RH18,971774,COSMIC_ID,HIGH,
MZ2-MEL,ACH-002165,MZ2-MEL,MZ2MEL,971777,COSMIC_ID,HIGH,
Jurkat,ACH-000995,JURKAT,JURKAT,998184,COSMIC_ID,HIGH,
LS-180,ACH-000957,LS 180,LS180,998189,COSMIC_ID,HIGH,
BICR22,ACH-000794,BICR 22,BICR22,1240121,COSMIC_ID,HIGH,
BICR78,ACH-001332,BICR 78,BICR78,1240122,COSMIC_ID,HIGH,
CCK-81,ACH-000963,CCK-81,CCK81,1240123,COSMIC_ID,HIGH,
COLO-783,ACH-000812,COLO-783,COLO783,1240125,COSMIC_ID,HIGH,
EN,ACH-000978,EN,EN,1240127,COSMIC_ID,HIGH,
NB5,ACH-002283,NB5,NB5,949176,COSMIC_ID,HIGH,
JHU-022,ACH-002250,JHU-022,JHU022,1240162,COSMIC_ID,HIGH,
BPH-1,ACH-001453,BPH-1,BPH1,924105,COSMIC_ID,HIGH,
8505C,ACH-001307,8505C,8505C,924102,COSMIC_ID,HIGH,
WSU-NHL,ACH-001709,WSU-NHL,WSUNHL,909785,COSMIC_ID,HIGH,
YAPC,ACH-000332,YAPC,YAPC,909904,COSMIC_ID,HIGH,
YH-13,ACH-000469,YH-13,YH13,909905,COSMIC_ID,HIGH,
ZR-75-30,ACH-000828,ZR-75-30,ZR7530,909907,COSMIC_ID,HIGH,
RCC10RGB,ACH-000189,RCC10RGB,RCC10RGB,909974,COSMIC_ID,HIGH,
KURAMOCHI,ACH-000524,KURAMOCHI,KURAMOCHI,909975,COSMIC_ID,HIGH,
KM-H2,ACH-000815,KM-H2,KMH2,909976,COSMIC_ID,HIGH,
HuO-3N1,ACH-002142,HuO-3N1,HUO3N1,909977,COSMIC_ID,HIGH,
OE19,ACH-000679,OE-19,OE19,910079,COSMIC_ID,HIGH,
SUP-B8,ACH-002308,SUP-B8,SUPB8,910209,COSMIC_ID,HIGH,
NCI-H838,ACH-000416,NCI-H838,NCIH838,910399,COSMIC_ID,HIGH,
Ramos-2G6-4C10,ACH-002300,Ramos-2G6-4C10,RAMOS2G64C10,910401,COSMIC_ID,HIGH,
RPMI-8866,ACH-002302,RPMI-8866,RPMI8866,910544,COSMIC_ID,HIGH,
QIMR-WIL,ACH-002299,QIMR-WIL,QIMRWIL,910545,COSMIC_ID,HIGH,
PSN1,ACH-000320,PSN1,PSN1,910546,COSMIC_ID,HIGH,
OAW-42,ACH-000704,OAW42,OAW42,910548,COSMIC_ID,HIGH,
OE33,ACH-000383,OE33,OE33,910549,COSMIC_ID,HIGH,
CW-2,ACH-000998,CW-2,CW2,910554,COSMIC_ID,HIGH,
CHP-126,ACH-000136,CHP-126,CHP126,910567,COSMIC_ID,HIGH,
CGTH-W-1,ACH-001023,CGTH-W-1,CGTHW1,910568,COSMIC_ID,HIGH,
COLO-320-HSR,ACH-002219,COLO-320-HSR,COLO320HSR,910569,COSMIC_ID,HIGH,
CESS,ACH-002218,CESS,CESS,910688,COSMIC_ID,HIGH,
COLO-678,ACH-000350,COLO-678,COLO678,910689,COSMIC_ID,HIGH,
COLO-684,ACH-000864,COLO 684,COLO684,910691,COSMIC_ID,HIGH,
COLO-668,ACH-000803,COLO 668,COLO668,910692,COSMIC_ID,HIGH,
WM-115,ACH-000304,WM-115,WM115,909784,COSMIC_ID,HIGH,
VMRC-RCZ,ACH-000171,VMRC-RCZ,VMRCRCZ,909781,COSMIC_ID,HIGH,
UMC-11,ACH-001417,UMC-11,UMC11,909779,COSMIC_ID,HIGH,
UACC-893,ACH-000554,UACC-893,UACC893,909778,COSMIC_ID,HIGH,
SNU-449,ACH-000420,SNU-449,SNU449,909738,COSMIC_ID,HIGH,
SNU-C2B,ACH-001199,SNUC2B,SNUC2B,909740,COSMIC_ID,HIGH,
SU-DHL-1,ACH-000664,SU-DHL-1,SUDHL1,909742,COSMIC_ID,HIGH,
SUP-T1,ACH-000953,SUP-T1,SUPT1,909743,COSMIC_ID,HIGH,
SW1088,ACH-000437,SW 1088,SW1088,909745,COSMIC_ID,HIGH,
SW1116,ACH-000489,SW1116,SW1116,909746,COSMIC_ID,HIGH,
SW1417,ACH-000236,SW1417,SW1417,909747,COSMIC_ID,HIGH,
SW1463,ACH-000470,SW1463,SW1463,909748,COSMIC_ID,HIGH,
SW1710,ACH-000566,SW-1710,SW1710,909749,COSMIC_ID,HIGH,
SW1783,ACH-000883,SW 1783,SW1783,909750,COSMIC_ID,HIGH,
SW48,ACH-000958,SW48,SW48,909751,COSMIC_ID,HIGH,
SW626,ACH-001399,SW 626,SW626,909753,COSMIC_ID,HIGH,
LN-405,ACH-002268,LN-405,LN405,910694,COSMIC_ID,HIGH,
SW684,ACH-002309,SW684,SW684,909754,COSMIC_ID,HIGH,
SW872,ACH-002310,SW872,SW872,909756,COSMIC_ID,HIGH,
SW948,ACH-000680,SW948,SW948,909757,COSMIC_ID,HIGH,
SW962,ACH-002200,SW962,SW962,909758,COSMIC_ID,HIGH,
SW982,ACH-001274,SW982,SW982,909759,COSMIC_ID,HIGH,
T84,ACH-000381,T84,T84,909761,COSMIC_ID,HIGH,
TALL-1,ACH-000197,TALL-1,TALL1,909762,COSMIC_ID,HIGH,
TGBC11TKB,ACH-000949,TGBC11TKB,TGBC11TKB,909770,COSMIC_ID,HIGH,
THP-1,ACH-000146,THP-1,THP1,909771,COSMIC_ID,HIGH,
TUR,ACH-002314,TUR,TUR,909773,COSMIC_ID,HIGH,
TYK-nu,ACH-000430,TYK-nu,TYKNU,909774,COSMIC_ID,HIGH,
U-2-OS,ACH-000364,U-2 OS,U2OS,909776,COSMIC_ID,HIGH,
U-698-M,ACH-001680,U-698-M,U698M,909777,COSMIC_ID,HIGH,
SW837,ACH-000421,SW837,SW837,909755,COSMIC_ID,HIGH,
TGBC24TKB,ACH-002312,TGBC24TKB,TGBC24TKB,910695,COSMIC_ID,HIGH,
A388,ACH-001442,A388,A388,910697,COSMIC_ID,HIGH,
BFTC-909,ACH-000792,BFTC-909,BFTC909,910698,COSMIC_ID,HIGH,
BC-1,ACH-002214,BC-1,BC1,910919,COSMIC_ID,HIGH,
A704,ACH-000429,A-704,A704,910920,COSMIC_ID,HIGH,
A101D,ACH-000008,A101D,A101D,910921,COSMIC_ID,HIGH,
769-P,ACH-000411,769-P,769P,910922,COSMIC_ID,HIGH,
23132-87,ACH-000948,23132/87,2313287,910924,COSMIC_ID,HIGH,
A431,ACH-001328,A-431,A431,910925,COSMIC_ID,HIGH,
BFTC-905,ACH-000802,BFTC-905,BFTC905,910926,COSMIC_ID,HIGH,
CAL-51,ACH-000856,CAL-51,CAL51,910927,COSMIC_ID,HIGH,
SCC-3,ACH-001642,SCC-3,SCC3,910930,COSMIC_ID,HIGH,
RERF-LC-MS,ACH-000062,RERF-LC-MS,RERFLCMS,910931,COSMIC_ID,HIGH,
GAK,ACH-002120,GAK,GAK,910932,COSMIC_ID,HIGH,
AM-38,ACH-000269,AM-38,AM38,910933,COSMIC_ID,HIGH,
BC-3,ACH-002215,BC-3,BC3,910918,COSMIC_ID,HIGH,
A4-Fuk,ACH-000157,A4/Fuk,A4FUK,910934,COSMIC_ID,HIGH,
DOK,ACH-002234,DOK,DOK,910936,COSMIC_ID,HIGH,
COR-L279,ACH-000257,COR-L279,CORL279,910937,COSMIC_ID,HIGH,
CHP-134,ACH-001338,CHP-134,CHP134,910941,COSMIC_ID,HIGH,
NEC8,ACH-002288,NEC8,NEC8,910942,COSMIC_ID,HIGH,
CAS-1,ACH-000464,CAS-1,CAS1,910943,COSMIC_ID,HIGH,
ALL-PO,ACH-002209,ALL-PO,ALLPO,910944,COSMIC_ID,HIGH,
OCI-AML2,ACH-000113,OCI-AML2,OCIAML2,910947,COSMIC_ID,HIGH,
CML-T1,ACH-000920,CML-T1,CMLT1,910951,COSMIC_ID,HIGH,
CAL-54,ACH-000457,CAL-54,CAL54,910952,COSMIC_ID,HIGH,
EFO-21,ACH-000308,EFO-21,EFO21,911905,COSMIC_ID,HIGH,
LS-1034,ACH-000252,LS1034,LS1034,917486,COSMIC_ID,HIGH,
22RV1,ACH-000956,22Rv1,22RV1,924100,COSMIC_ID,HIGH,
A3-KAW,ACH-000697,A3/KAW,A3KAW,910935,COSMIC_ID,HIGH,
B-CPAP,ACH-000456,B-CPAP,BCPAP,924104,COSMIC_ID,HIGH,
CAL-27,ACH-000832,CAL 27,CAL27,910916,COSMIC_ID,HIGH,
SCC-15,ACH-000254,SCC-15,SCC15,910911,COSMIC_ID,HIGH,
C2BBe1,ACH-000009,C2BBe1,C2BBE1,910700,COSMIC_ID,HIGH,
SCC-25,ACH-000188,SCC-25,SCC25,910701,COSMIC_ID,HIGH,
AsPC-1,ACH-000222,AsPC-1,ASPC1,910702,COSMIC_ID,HIGH,
CA46,ACH-000440,CA46,CA46,910703,COSMIC_ID,HIGH,
AU565,ACH-000248,AU565,AU565,910704,COSMIC_ID,HIGH,
BALL-1,ACH-002211,BALL-1,BALL1,910705,COSMIC_ID,HIGH,
BL-41,ACH-000245,BL-41,BL41,910706,COSMIC_ID,HIGH,
BV-173,ACH-000432,BV-173,BV173,910710,COSMIC_ID,HIGH,
IA-LM,ACH-000672,IA-LM,IALM,910779,COSMIC_ID,HIGH,
TGW,ACH-001674,TGW,TGW,910780,COSMIC_ID,HIGH,
AN3-CA,ACH-000940,AN3 CA,AN3CA,910781,COSMIC_ID,HIGH,
A204,ACH-000201,A-204,A204,910784,COSMIC_ID,HIGH,
CAPAN-2,ACH-000107,Capan-2,CAPAN2,910915,COSMIC_ID,HIGH,
NY,ACH-002178,NY,NY,910849,COSMIC_ID,HIGH,
A427,ACH-000757,A427,A427,910851,COSMIC_ID,HIGH,
CAL-85-1,ACH-000857,CAL-85-1,CAL851,910852,COSMIC_ID,HIGH,
CHL-1,ACH-001024,CHL-1,CHL1,910853,COSMIC_ID,HIGH,
RL,ACH-000371,RL,RL,910861,COSMIC_ID,HIGH,
NCI-H146,ACH-000506,NCI-H146,NCIH146,910899,COSMIC_ID,HIGH,
NCI-H1651,ACH-000893,NCI-H1651,NCIH1651,910900,COSMIC_ID,HIGH,
RPMI-7951,ACH-000348,RPMI-7951,RPMI7951,910903,COSMIC_ID,HIGH,
SCC-4,ACH-000238,SCC-4,SCC4,910904,COSMIC_ID,HIGH,
SNU-C1,ACH-000722,SNU-C1,SNUC1,910905,COSMIC_ID,HIGH,
ST486,ACH-000567,ST486,ST486,910906,COSMIC_ID,HIGH,
SW1990,ACH-000155,SW 1990,SW1990,910907,COSMIC_ID,HIGH,
UACC-812,ACH-000568,UACC-812,UACC812,910910,COSMIC_ID,HIGH,
C3A,ACH-001021,C3A,C3A,910850,COSMIC_ID,HIGH,
SNU-423,ACH-000493,SNU-423,SNU423,909737,COSMIC_ID,HIGH,
KYM-1,ACH-000607,KYM-1,KYM1,1240166,COSMIC_ID,HIGH,
LN-18,ACH-000819,LN-18,LN18,1240168,COSMIC_ID,HIGH,
L-1236,ACH-000702,L-1236,L1236,1330935,COSMIC_ID,HIGH,
MDA-MB-330,ACH-001358,MDA-MB-330,MDAMB330,1330941,COSMIC_ID,HIGH,
ME-1,ACH-000439,ME-1,ME1,1330942,COSMIC_ID,HIGH,
MOLM-13,ACH-000362,MOLM-13,MOLM13,1330947,COSMIC_ID,HIGH,
MOLM-16,ACH-000369,MOLM-16,MOLM16,1330948,COSMIC_ID,HIGH,
MOLP-8,ACH-000745,MOLP-8,MOLP8,1330950,COSMIC_ID,HIGH,
